NAME OF COMPANY,SYMBOL,SECTOR
20 Microns Limited,20MICRONS,Metals & Mining
3i Infotech limited,3IINFOTECH,Information Technology
3M India Ltd.,3MINDIA,Diversified
3P LAND HOLDINGS LTD.,3PLAND,Financial Services
5paisa Capital Limited,5PAISA,Financial Services
63 Moons Technologies Limited,63MOONS,Information Technology
7NR Retail Limited,7NR,Consumer Services
7SEAS ENTERTAINMENT LIMITED,7SEASL,"Media, Entertainment & Publication"
A Infrastructure Limited,AINFRA,Construction Materials
A.F. Enterprises Limited,AFEL,Services
A.K. Spintex Ltd.,AKSPINTEX,Textiles
A.K.Capital Services Ltd.,AKCAPIT,Financial Services
A-1 Acid Limited,AAL,Chemicals
A2Z Infra Engineering Limited,A2ZINFRA,Construction
AA Plus Tradelink Limited,AAPLUSTRAD,Services
Aadi Industries Ltd,AADIIND,Chemicals
Aananda Lakshmi Spinning Mills Limited,AANANDALAK,Textiles
Aanchal Ispat Limited,AANCHALISP,Capital Goods
Aar Shyam India Investment Company Limited,AARSHYAM,Financial Services
Aarey Drugs & Pharmaceuticals Ltd,AREYDRG,Healthcare
AARNAV FASHIONS LIMITED,AARNAV,Textiles
Aartech Solonics Limited,AARTECH,Capital Goods
Aarti Drugs Limited,AARTIDRUGS,Healthcare
Aarti Industries Ltd,AARTIIND,Chemicals
Aarti Surfactants Limited,AARTISURF,Chemicals
AARV Infratel Limited,AARVINFRA,Textiles
"Aarvee Denims & Exports Ltd.,",AARVEEDEN,Textiles
Aashka Hospitals Limited,AASHKA,Healthcare
Aastamangalam Finance Limited,AASTAFIN,Financial Services
"Aaswa Trading & Export Ltd.,",ASWTR,Services
AAVAS Financiers Limited,AAVAS,Financial Services
Aayush Food And Herbs Limited,AAYUSH,Fast Moving Consumer Goods
"Aban  Offshore Ltd.,",ABAN,"Oil, Gas & Consumable Fuels"
ABans Enterprises Limited,ABANSENT,Metals & Mining
ABATE AS INDUSTRIES LIMITED,ABATEAS,Financial Services
ABB India Limited,ABB,Capital Goods
Abbott India Ltd.,ABBOTINDIA,Healthcare
ABC Gas (International) Ltd.,ABCGAS,Metals & Mining
ABC India Ltd.,ABCINDQ,Services
Abhinav Capital Services Limited,ABHICAP,Financial Services
Abhinav Leasing & Finance Limited,ALFL,Financial Services
Abhishek Finlease limited,ABHIFIN,Services
Abhishek Infraventures Limited,ABHIINFRA,Realty
ABM Knowledgeware Ltd.,ABMKNO,Information Technology
ACC Ltd,ACC,Construction Materials
ACCEL LIMITED,ACCEL,Information Technology
ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA,Information Technology
ACE MEN ENGG WORKS LIMITED,ACEMEN,Consumer Services
Ace Software Exports ltd.,ACESOFT,Information Technology
Achyut Healthcare Limited,ACHYUT,Healthcare
ACI Infocom Ltd.,ACIIN,Information Technology
Acknit Industries Ltd,ACKNIT,Textiles
Acme Resources Limited,ACME,Financial Services
"Acrow (India) Ltd.,",ACROW,Capital Goods
Acrysil Ltd.,ACRYSIL,Consumer Durables
Action Construction Equipments Ltd.,ACE,Capital Goods
Active Clothing Co  Limited,ACTIVE,Textiles
Adani Enterprises Ltd.,ADANIENT,Metals & Mining
Adani Green Energy Limited,ADANIGREEN,Power
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Services
Adani Power Limited,ADANIPOWER,Power
ADANI TOTAL GAS LIMITED,ATGL,"Oil, Gas & Consumable Fuels"
Adani Transmission Limited,ADANITRANS,Power
Adani Wilmar Limited,AWL,Fast Moving Consumer Goods
Adarsh Mercantile Limited,ADARSH,Services
Adarsh Plant Project Ltd.,ADARSHPL,Chemicals
ADC India Communications Limited,ADCINDIA,Telecommunication
Adcon Capital Services Limited,ADCON,Financial Services
"Addi Industries Ltd.,",ADDIND,Textiles
Add-Shop E-Retail Limited,ASRL,Consumer Services
Adeshwar Meditex Limited,ADESHWAR,Healthcare
ADF Foods Limited.,ADFFOODS,Fast Moving Consumer Goods
ADHARSHILA CAPITAL SERVICES LIMITED,ADHARSHILA,Financial Services
Adinath Exim Resources Ltd.,ADIEXRE,Financial Services
"Adinath Textiles Ltd.,",ADINATH,Textiles
Adishakti Loha and Ispat Limited,ADISHAKTI,Capital Goods
Aditya Birla  Money Ltd,BIRLAMONEY,Financial Services
Aditya Birla Capital Ltd,ABCAPITAL,Financial Services
Aditya Birla Fashion and Retail Limited,ABFRL,Consumer Services
Aditya Birla Sun Life AMC Limited,ABSLAMC,Financial Services
ADITYA CONSUMER MARKETING LIMITED,ACML,Consumer Services
Aditya Ispat Ltd.,ADITYA,Capital Goods
Aditya Spinners Ltd.,ADITYASP,Textiles
Aditya Vision Limited,AVL,Consumer Services
ADLINE CHEM LAB LIMITED,ADLINE,Healthcare
AD-Manum Finance Ltd,ADMANUM,Financial Services
Ador Fontech Ltd,ADORFO,Capital Goods
Ador Multiproducts Ltd,ADORMUL,Fast Moving Consumer Goods
Ador Welding Ltd.,ADORWELD,Capital Goods
Adroit Infotech Limited,ADROITINFO,Information Technology
Advait Infratech Limited,ADVAIT,Capital Goods
Advance Lifestyles Ltd.,ADVLIFE,Textiles
ADVANCE METERING TECHNOLOGY LIMITED,AMTL,Power
"Advance Petrochemicals Ltd.,",ADVPETR-B,Chemicals
Advance Syntex Limited,ASYL,Capital Goods
Advanced Enzyme Technologies Limited,ADVENZYMES,Fast Moving Consumer Goods
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,Consumer Services
Advik Capital Limited,ADVIKCA,Financial Services
Aegis Logistics Ltd.,AEGISLOG,"Oil, Gas & Consumable Fuels"
Aether Industries Limited,AETHER,Chemicals
Affle (India) Limited,AFFLE,Information Technology
Affordable Robotic & Automation Limited,AFFORDABLE,Capital Goods
Agarwal Industrial Corporation Limited,AGARIND,Chemicals
AGI GREENPAC LIMITED,AGI,Capital Goods
AGI Infra Limited,AGIIL,Realty
Agio Paper & Industries Limited,AGIOPAPER,Forest Materials
Agrimony Commodities Limited,AGRIMONY,Services
